0,1,2,3,4,5,6,7,8,9,10,Year,11,12,13,14
1,ANDHRA PRADESH,164,162,-1.2,14489,15882,9.6,14653,16044,9.5,2021,,,,
2,ARUNACHAL PRADESH,36,12,-66.7,318,379,19.2,354,391,10.5,2021,,,,
3,ASSAM,50,27,-46.0,4863,4497,-7.5,4913,4524,-7.9,2021,,,,
4,BIHAR,1437,830,-42.2,13037,14575,11.8,14474,15405,6.4,2021,,,,
5,CHHATTISGARH,270,244,-9.6,19787,17281,-12.7,20057,17525,-12.6,2021,,,,
6,GOA,3,3,0.0,608,593,-2.5,611,596,-2.5,2021,,,,
7,GUJARAT,155,125,-19.4,20644,21927,6.2,20799,22052,6.0,2021,,,,
8,HARYANA,74,55,-25.7,14775,15437,4.5,14849,15492,4.3,2021,,,,
9,HIMACHAL PRADESH,54,134,148.1,2697,2869,6.4,2751,3003,9.2,2021,,,,
10,JHARKHAND,475,410,-13.7,6415,6959,8.5,6890,7369,7.0,2021,,,,
11,KARNATAKA,137,154,12.4,24261,25124,3.6,24398,25278,3.6,2021,,,,
12,KERALA,78,45,-42.3,12903,13841,7.3,12981,13886,7.0,2021,,,,
13,MADHYA PRADESH,561,680,21.2,39957,39830,-0.3,40518,40510,0.0,2021,,,,
14,MAHARASHTRA,459,761,65.8,57347,57481,0.2,57806,58242,0.8,2021,,,,
15,MANIPUR,0,1,-,288,276,-4.2,288,277,-3.8,2021,,,,
16,MEGHALAYA,22,16,-27.3,469,550,17.3,491,566,15.3,2021,,,,
17,MIZORAM,4,2,-50.0,191,230,20.4,195,232,19.0,2021,,,,
18,NAGALAND,12,1,-91.7,62,72,16.1,74,73,-1.4,2021,,,,
19,ODISHA,1428,1746,22.3,17460,17917,2.6,18888,19663,4.1,2021,,,,
20,PUNJAB,325,253,-22.2,9248,10192,10.2,9573,10445,9.1,2021,,,,
21,RAJASTHAN,127,164,29.1,22257,23033,3.5,22384,23197,3.6,2021,,,,
22,SIKKIM,19,8,-57.9,280,225,-19.6,299,233,-22.1,2021,,,,
23,TAMIL NADU,71,130,83.1,18319,28156,53.7,18390,28286,53.8,2021,,,,
24,TELANGANA,170,112,-34.1,11652,12985,11.4,11822,13097,10.8,2021,,,,
25,TRIPURA,10,7,-30.0,684,631,-7.7,694,638,-8.1,2021,,,,
26,UTTAR PRADESH,525,376,-28.4,31166,36145,16.0,31691,36521,15.2,2021,,,,
27,UTTARAKHAND,73,89,21.9,1590,1688,6.2,1663,1777,6.9,2021,,,,
28,WEST BENGAL,599,459,-23.4,14195,15239,7.4,14794,15698,6.1,2021,,,,
,TOTAL (STATES),7338,7006,-4.5,359962,384014,6.7,367300,391020,6.5,2021,,,,
,UNION TERRITORIES,,,,,,,,,,2021,,,,
29,A & N ISLANDS,0,4,-,213,206,-3.3,213,210,-1.4,2021,,,,
30,CHANDIGARH,3,0,-100.0,320,379,18.4,323,379,17.3,2021,,,,
,D & N HAVELI AND,,,,,,,,,,2021,,,,
31,,5,1,-80.0,250,273,9.2,255,274,7.5,2021,,,,
,DAMAN & DIU,,,,,,,,,,2021,,,,
32,DELHI (UT),2,0,-100.0,4114,3185,-22.6,4116,3185,-22.6,2021,,,,
33,JAMMU & KASHMIR,48,52,8.3,1155,1334,15.5,1203,1386,15.2,2021,,,,
34,LADAKH,9,63,600.0,93,90,-3.2,102,153,50.0,2021,,,,
35,LAKSHADWEEP,0,0,-,3,6,100.0,3,6,100.0,2021,,,,
36,PUDUCHERRY,0,0,-,882,917,4.0,882,917,4.0,2021,,,,
,TOTAL (UTs),67,120,79.1,7030,6390,-9.1,7097,6510,-8.3,2021,,,,
,TOTAL (ALL INDIA),7405,7126,-3.8,366992,390404,6.4,374397,397530,6.2,2021,,,,
% Variation denotes percentage change in 2021 over 2020,,,,,,,,,,,2021,,,,
,Sl. No.,State/UT,,,,,,,,,2021,,,,
,,,Injured,Died,Injured,Died,,,,,2021,,,,
,(1),(2),(9),(10),(11),(12),,,,,2021,,,,
,,STATES,,,,,,,,,2021,,,,
,1,ANDHRA PRADESH,318,218,2772,644,,,,,2021,,,,
,2,ARUNACHAL PRADESH,0,3,6,8,,,,,2021,,,,
,3,ASSAM,37,30,516,127,,,,,2021,,,,
,4,BIHAR,78,65,821,405,,,,,2021,,,,
,5,CHHATTISGARH,192,175,117,205,,,,,2021,,,,
,6,GOA,0,0,3,0,,,,,2021,,,,
,7,GUJARAT,118,86,1413,522,,,,,2021,,,,
,8,HARYANA,347,217,249,126,,,,,2021,,,,
,9,HIMACHAL PRADESH,50,34,45,5,,,,,2021,,,,
,10,JHARKHAND,51,64,402,393,,,,,2021,,,,
,11,KARNATAKA,314,157,2378,334,,,,,2021,,,,
,12,KERALA,4,2,2555,188,,,,,2021,,,,
,13,MADHYA PRADESH,1204,440,1900,452,,,,,2021,,,,
,14,MAHARASHTRA,338,383,950,453,,,,,2021,,,,
,15,MANIPUR,0,0,13,1,,,,,2021,,,,
,16,MEGHALAYA,0,0,10,1,,,,,2021,,,,
,17,MIZORAM,7,1,0,1,,,,,2021,,,,
,18,NAGALAND,0,0,0,2,,,,,2021,,,,
,19,ODISHA,153,83,632,194,,,,,2021,,,,
,20,PUNJAB,62,64,172,225,,,,,2021,,,,
,21,RAJASTHAN,776,592,501,177,,,,,2021,,,,
,22,SIKKIM,0,0,0,0,,,,,2021,,,,
,23,TAMIL NADU,302,89,1935,534,,,,,2021,,,,
,24,TELANGANA,218,176,2114,390,,,,,2021,,,,
,25,TRIPURA,0,0,62,19,,,,,2021,,,,
,26,UTTAR PRADESH,771,862,1704,1925,,,,,2021,,,,
,27,UTTARAKHAND,0,0,36,12,,,,,2021,,,,
,28  WEST BENGAL,,182,120,424,172,,,,,2021,,,,
,,TOTAL (STATES),5522,3861,21730,7515,,,,,2021,,,,
,,UNION TERRITORIES,,,,,,,,,2021,,,,
,29,A & N ISLANDS,0,0,6,1,,,,,2021,,,,
,30,CHANDIGARH,0,0,27,17,,,,,2021,,,,
,31,D & N HAVELI AND DAMAN & DIU,0,4,12,0,,,,,2021,,,,
,32,DELHI (UT),17,7,252,121,,,,,2021,,,,
,33,JAMMU & KASHMIR,64,22,262,28,,,,,2021,,,,
,34,LADAKH,0,0,0,0,,,,,2021,,,,
,35,LAKSHADWEEP,0,0,0,0,,,,,2021,,,,
,36,PUDUCHERRY,49,5,6,3,,,,,2021,,,,
,,TOTAL (UTs),130,38,565,170,,,,,2021,,,,
,,TOTAL (ALL INDIA),5652,3899,22295,7685,,,,,2021,,,,
,,As per data provided by States/UTs.,,,,,,,,,2021,,,,
,,,Table 1A.4 (Contd…),,,,,,,,2021,,,,
,,,,Hand Drawn Vehicle/,,,,,,,2021,,,,
,,Bicycle,,,,,Animal Drawn Vehicle,,,,2021,,,,
Sl.,,,,Cycle Rickshaw,,,,,,,2021,,,,
State/UT,,,,,,,,,,,2021,,,,
No.,,,,,,,,,,,2021,,,,
,Injured,,Died,Injured,Died,Injured,Died,,,,2021,,,,
"(1) 
(2)",(17),,(18),(19),(20),(21),(22),,,,2021,,,,
STATES,,,,,,,,,,,2021,,,,
1  ANDHRA PRADESH,248,,146,36,4,20,4,,,,2021,,,,
2  ARUNACHAL PRADESH,3,,1,0,0,0,0,,,,2021,,,,
3  ASSAM,223,,177,52,3,2,1,,,,2021,,,,
4  BIHAR,570,,495,3,10,0,0,,,,2021,,,,
5  CHHATTISGARH,325,,215,7,5,10,4,,,,2021,,,,
6  GOA,11,,6,0,0,0,0,,,,2021,,,,
7  GUJARAT,200,,117,3,2,12,14,,,,2021,,,,
8  HARYANA,111,,91,17,10,8,0,,,,2021,,,,
9  HIMACHAL PRADESH,6,,2,1,0,0,0,,,,2021,,,,
10  JHARKHAND,36,,121,67,59,7,19,,,,2021,,,,
11  KARNATAKA,277,,70,5,0,29,5,,,,2021,,,,
12  KERALA,730,,84,2,0,1,5,,,,2021,,,,
13  MADHYA PRADESH,360,,61,24,5,29,9,,,,2021,,,,
14  MAHARASHTRA,191,,143,2,3,31,46,,,,2021,,,,
15  MANIPUR,13,,7,1,0,0,0,,,,2021,,,,
16  MEGHALAYA,1,,2,0,0,0,0,,,,2021,,,,
17  MIZORAM,0,,0,0,0,0,0,,,,2021,,,,
18  NAGALAND,0,,0,0,0,0,0,,,,2021,,,,
19  ODISHA,276,,164,0,0,0,0,,,,2021,,,,
20  PUNJAB,131,,194,25,42,8,14,,,,2021,,,,
21  RAJASTHAN,57,,28,4,1,0,0,,,,2021,,,,
22  SIKKIM,0,,0,0,0,0,0,,,,2021,,,,
23  TAMIL NADU,732,,234,82,9,46,30,,,,2021,,,,
24  TELANGANA,140,,68,0,3,0,2,,,,2021,,,,
25  TRIPURA,16,,9,3,0,0,0,,,,2021,,,,
26  UTTAR PRADESH,540,,349,120,80,171,106,,,,2021,,,,
27  UTTARAKHAND,28,,17,1,0,0,0,,,,2021,,,,
28  WEST BENGAL,210,,143,106,18,3,1,,,,2021,,,,
TOTAL (STATES),5435,,2944,561,254,377,260,,,,2021,,,,
UNION TERRITORIES,,,,,,,,,,,2021,,,,
29  A & N ISLANDS,2,,0,0,0,0,0,,,,2021,,,,
30  CHANDIGARH,14,,17,4,1,0,0,,,,2021,,,,
31  D & N HAVELI AND DAMAN & DIU,2,,1,0,0,0,0,,,,2021,,,,
32  DELHI (UT),95,,41,24,0,4,0,,,,2021,,,,
33  JAMMU & KASHMIR,37,,3,9,0,0,0,,,,2021,,,,
34  LADAKH,0,,0,0,0,0,0,,,,2021,,,,
35  LAKSHADWEEP,0,,0,0,0,0,0,,,,2021,,,,
36  PUDUCHERRY,56,,0,0,0,0,0,,,,2021,,,,
TOTAL (UTs),206,,62,37,1,4,0,,,,2021,,,,
,,,,,,,Railway Crossing Accidents,,,,2021,,,,
Sl.,,,,,,,,,,,2021,,,,
,State/UT,,,,,,,,,,2021,,,,
No.,,,,,,,,,,,2021,,,,
,,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,2021,Oct.,Nov.,Dec.,Total
(1),(2),(16),(17),(18),(19),(20),(21),(22),(23),(24),2021,(25),(26),(27),(28)
,STATES,,,,,,,,,,2021,,,,
1,ANDHRA PRADESH,0,0,0,0,0,0,0,0,0,2021,0,0,0,0
2,ARUNACHAL PRADESH,0,0,0,0,0,0,0,0,0,2021,0,0,0,0
3,ASSAM,1,0,0,0,0,1,0,0,0,2021,0,1,0,3
4,BIHAR,15,16,10,12,14,15,13,9,19,2021,18,10,12,163
5,CHHATTISGARH,0,0,0,0,0,0,0,0,0,2021,0,0,0,0
6  GOA,,0,0,0,0,0,0,0,0,0,2021,0,0,0,0
7  GUJARAT,,0,0,0,0,0,0,0,0,0,2021,0,0,0,0
8,HARYANA,5,11,8,10,13,17,15,18,12,2021,21,17,13,160
9,HIMACHAL PRADESH,0,0,0,0,0,0,0,0,0,2021,0,0,0,0
10  JHARKHAND,,2,8,7,15,10,8,14,6,13,2021,6,15,13,117
,,,,,,,,,,2100 hrs.,2021,,,,
,Sl.,,0000 hrs,0300 hrs to,0600 hrs,0900 hrs,1200 hrs to,1500 hrs,1800 hrs to,,2021,,,,
,,State/UT,,,,,,,,to,2021,,,,
,No.,,to 0300 hrs.,0600 hrs.,to 0900,to 1200,1500 hrs,to 1800,2100hrs,,2021,Total,,,
,,,,,,,,,,2400hrs(Ni,2021,,,,
,,,(Night),(Night),hrs (Day),hrs (Day),(Day),hrs (Day),(Night),,2021,,,,
,,,,,,,,,,ght),2021,,,,
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),2021,(11),,,
,,STATES,,,,,,,,,2021,,,,
,1,ANDHRA PRADESH,780,1126,2337,3324,3416,4125,4522,1926,2021,21556,,,
,2,ARUNACHAL PRADESH,10,6,41,42,40,62,43,17,2021,261,,,
,3,ASSAM,377,551,820,1187,1034,1323,1014,763,2021,7069,,,
,4,BIHAR,242,1357,1414,1526,1363,1508,1497,646,2021,9553,,,
,5,CHHATTISGARH,546,810,1047,1807,2224,2415,2480,1066,2021,12395,,,
,6,GOA,237,164,263,402,453,463,521,347,2021,2850,,,
,7,GUJARAT,798,663,1622,2372,2416,2598,3114,1617,2021,15200,,,
,8,HARYANA,777,835,1166,1168,1239,1547,1955,1362,2021,10049,,,
,9,HIMACHAL PRADESH,122,55,246,315,335,449,574,312,2021,2408,,,
,10,JHARKHAND,307,512,639,730,679,783,686,392,2021,4728,,,
,11,KARNATAKA,1909,1990,3674,5117,5560,5983,6684,3730,2021,34647,,,
,12,KERALA,718,1167,3882,6099,5327,6308,6765,2493,2021,32759,,,
,13  MADHYA PRADESH,,2316,2197,4131,7180,8211,8969,9798,5417,2021,48219,,,
,14  MAHARASHTRA,,1579,1601,2563,3626,4150,4321,5304,3454,2021,26598,,,
,15  MANIPUR,,14,21,52,45,60,75,69,30,2021,366,,,
,16  MEGHALAYA,,12,18,25,24,30,58,38,39,2021,244,,,
,17  MIZORAM,,4,2,9,12,12,12,10,3,2021,64,,,
,18  NAGALAND,,1,0,5,3,4,5,3,4,2021,25,,,
,19  ODISHA,,544,830,1189,1619,1776,1908,2102,1015,2021,10983,,,
,20,PUNJAB,490,500,666,708,743,962,1135,893,2021,6097,,,
,21  RAJASTHAN,,894,1058,2345,2905,3317,4179,4269,1987,2021,20954,,,
,22,SIKKIM,7,8,11,9,17,22,28,20,2021,122,,,
,23,TAMIL NADU,1141,2244,6248,8357,8437,10383,14415,4457,2021,55682,,,
,24,TELANGANA,935,936,2120,3115,3452,4028,4587,2142,2021,21315,,,
,25,TRIPURA,4,13,48,85,86,101,101,40,2021,478,,,
,26  UTTAR PRADESH,,3484,3325,3954,4069,4313,5017,5592,3957,2021,33711,,,
,27  UTTARAKHAND,,107,121,136,198,176,233,261,173,2021,1405,,,
,28  WEST BENGAL,,841,1014,1208,1740,1680,1893,1915,1210,2021,11501,,,
,,TOTAL (STATES),19196,23124,41861,57784,60550,69730,79482,39512,2021,391239,,,
,,UNION TERRITORIES,,,,,,,,,2021,,,,
,29,A & N ISLANDS,3,3,6,11,20,31,25,18,2021,117,,,
,30  CHANDIGARH,,22,7,16,28,18,31,42,44,2021,208,,,
,,D & N HAVELI AND,,,,,,,,,2021,,,,
,31,,4,3,14,9,22,25,37,26,2021,140,,,
,,DAMAN & DIU,,,,,,,,,2021,,,,
,32  DELHI (UT),,577,371,517,550,540,661,804,700,2021,4720,,,
,33,JAMMU & KASHMIR,124,162,560,1050,1257,1026,860,363,2021,5402,,,
,34,LADAKH,8,2,29,46,48,81,22,1,2021,237,,,
,35,LAKSHADWEEP,0,0,0,2,0,1,0,1,2021,4,,,
,36,PUDUCHERRY,119,127,114,129,132,125,138,165,2021,1049,,,
,,TOTAL (UTs),857,675,1256,1825,2037,1981,1928,1318,2021,11877,,,
,,TOTAL (ALL INDIA),20053,23799,43117,59609,62587,71711,81410,40830,2021,403116,,,
,,As per data provided by States/UTs.,,,,,,,,,2021,,,,
Sl.,,,,0600 hrs,0900 hrs,1200 hrs to,1500 hrs,1800 hrs,2100 hrs.,,2021,,,,
,State/UT,to 0300,to 0600,,,,,,,,2021,,,,
No.,,,,to 0900,to 1200,1500 hrs,to 1800,to 2100,to 2400 hrs,Total,2021,,,,
,,hrs.,hrs.,,,,,,,,2021,,,,
,,,,hrs (Day),hrs (Day),(Day),hrs (Day),hrs (Night),(Night),,2021,,,,
,,(Night),(Night),,,,,,,,2021,,,,
(1),(2),(21),(22),(23),(24),(25),(26),(27),(28),(29),2021,,,,
,STATES,,,,,,,,,,2021,,,,
1,ANDHRA PRADESH,28,46,189,196,90,100,51,55,755,2021,,,,
2,ARUNACHAL PRADESH,0,0,0,0,0,0,0,0,0,2021,,,,
3,ASSAM,42,70,65,51,84,62,70,15,459,2021,,,,
4,BIHAR,142,165,194,158,117,147,117,107,1147,2021,,,,
5,CHHATTISGARH,46,46,81,49,50,57,48,35,412,2021,,,,
6,GOA,9,5,5,4,3,4,10,9,49,2021,,,,
7,GUJARAT,36,43,73,83,50,65,113,108,571,2021,,,,
8,HARYANA,80,74,119,120,100,96,109,108,806,2021,,,,
9,HIMACHAL PRADESH,0,0,0,0,0,0,0,0,0,2021,,,,
10,JHARKHAND,21,30,55,57,33,31,34,23,284,2021,,,,
11  KARNATAKA,,0,0,0,0,0,0,0,0,0,2021,,,,
12  KERALA,,15,20,32,18,18,23,25,20,171,2021,,,,
,13  MADHYA PRADESH,159,127,150,135,105,120,149,133,1078,2021,,,,
14  MAHARASHTRA,,255,191,469,531,498,506,552,486,3488,2021,,,,
15  MANIPUR,,0,0,0,0,0,0,0,0,0,2021,,,,
,Sl.,,,,0600 hrs,0900 hrs,1200 hrs to,1500 hrs,1800 hrs,2100 hrs.,2021,,,,
,,State/UT,to 0300,to 0600,,,,,,,2021,,,,
,No.,,,,to 0900,to 1200,1500 hrs,to 1800,to 2100,to 2400 hrs,2021,Total,,,
,,,hrs.,hrs.,,,,,,,2021,,,,
,,,,,hrs (Day),hrs (Day),(Day),hrs (Day),hrs (Night),(Night),2021,,,,
,,,(Night),(Night),,,,,,,2021,,,,
,(1),(2),(30),(31),(32),(33),(34),(35),(36),(37),2021,(38),,,
,,STATES,,,,,,,,,2021,,,,
,1,ANDHRA PRADESH,808,1172,2526,3520,3506,4225,4573,1981,2021,22311,,,
,2,ARUNACHAL PRADESH,10,6,41,42,40,62,43,17,2021,261,,,
,3,ASSAM,419,621,887,1238,1118,1386,1084,778,2021,7531,,,
,4,BIHAR,398,1538,1628,1713,1506,1671,1640,769,2021,10863,,,
,5,CHHATTISGARH,592,856,1128,1856,2274,2472,2528,1101,2021,12807,,,
,6,GOA,246,169,268,406,456,467,531,356,2021,2899,,,
,7,GUJARAT,834,706,1695,2455,2466,2663,3227,1725,2021,15771,,,
,8,HARYANA,857,926,1304,1318,1366,1667,2086,1491,2021,11015,,,
,9,HIMACHAL PRADESH,122,55,246,315,335,449,574,312,2021,2408,,,
,10,JHARKHAND,339,562,708,811,731,827,726,425,2021,5129,,,
,11,KARNATAKA,1909,1990,3674,5117,5560,5983,6684,3730,2021,34647,,,
,12,KERALA,745,1206,3928,6128,5356,6336,6810,2542,2021,33051,,,
,13  MADHYA PRADESH,,2492,2352,4311,7333,8343,9116,9969,5577,2021,49493,,,
,14  MAHARASHTRA,,1834,1792,3032,4157,4648,4827,5856,3940,2021,30086,,,
,15  MANIPUR,,14,21,52,45,60,75,69,30,2021,366,,,
,16  MEGHALAYA,,12,18,25,24,30,58,38,39,2021,244,,,
,17  MIZORAM,,4,2,9,12,12,12,10,3,2021,64,,,
,18  NAGALAND,,1,3,8,3,4,6,4,5,2021,34,,,
,19  ODISHA,,589,890,1224,1645,1806,1962,2129,1044,2021,11289,,,
,20,PUNJAB,535,529,801,811,822,1033,1226,956,2021,6713,,,
,21  RAJASTHAN,,948,1131,2446,2995,3402,4260,4385,2056,2021,21623,,,
,22,SIKKIM,7,8,11,9,17,22,28,20,2021,122,,,
,23,TAMIL NADU,1220,2322,6588,8635,8565,10546,14584,4630,2021,57090,,,
,24,TELANGANA,957,953,2191,3219,3514,4069,4632,2188,2021,21723,,,
,25,TRIPURA,6,18,53,88,91,110,106,43,2021,515,,,
,26  UTTAR PRADESH,,3839,3786,4294,4365,4559,5314,6016,4336,2021,36509,,,
,27  UTTARAKHAND,,107,126,138,198,180,235,265,181,2021,1430,,,
,28  WEST BENGAL,,919,1198,1620,2241,2098,2307,2387,1320,2021,14090,,,
,,TOTAL (STATES),20763,24956,44836,60699,62865,72160,82210,41595,2021,410084,,,
,,UNION TERRITORIES,,,,,,,,,2021,,,,
,29,A & N ISLANDS,3,3,6,11,20,31,25,18,2021,117,,,
,30  CHANDIGARH,,22,7,16,28,18,31,42,44,2021,208,,,
,,D & N HAVELI AND,,,,,,,,,2021,,,,
,31,,4,3,14,9,22,25,37,26,2021,140,,,
,,DAMAN & DIU,,,,,,,,,2021,,,,
,32  DELHI (UT),,634,425,632,644,624,759,885,793,2021,5396,,,
,33,JAMMU & KASHMIR,124,163,564,1060,1259,1028,862,364,2021,5424,,,
,34,LADAKH,8,2,29,46,48,81,22,1,2021,237,,,
,35,LAKSHADWEEP,0,0,0,2,0,1,0,1,2021,4,,,
,36,PUDUCHERRY,119,127,114,129,132,125,138,165,2021,1049,,,
,,TOTAL (UTs),914,730,1375,1929,2123,2081,2011,1412,2021,12575,,,
,,TOTAL (ALL INDIA),21677,25686,46211,62628,64988,74241,84221,43007,2021,422659,,,
,,As per data provided by States/UTs.,,,,,,,,,2021,,,,
,,,Table – 2.2,,,,,,,,2021,,,,
,,Incidence and Rate of Suicides – 2021,,,,,,,,,2021,,,,
,,,(State/UT - wise),,,,,,,,2021,,,,
,,,,Projected Mid–Year,,,,,,,2021,,,,
,,Number of,Percentage Share in,,Rate of Suicides,,,,,,2021,,,,
Sl. No.,State/UT,,,Population #,,,,,,,2021,,,,
,,Suicides,Total Suicides,,(Col.3/Col.5),,,,,,2021,,,,
,,,,(in Lakh),,,,,,,2021,,,,
(1),(2),(3),(4),(5),(6),,,,,,2021,,,,
,STATES,,,,,,,,,,2021,,,,
1,ANDHRA PRADESH,8067,4.9,528.49,15.3,,,,,,2021,,,,
2,ARUNACHAL PRADESH,160,0.1,15.37,10.4,,,,,,2021,,,,
3,ASSAM,3262,2.0,351.55,9.3,,,,,,2021,,,,
4,BIHAR,827,0.5,1236.95,0.7,,,,,,2021,,,,
5,CHHATTISGARH,7828,4.8,296.07,26.4,,,,,,2021,,,,
6,GOA,321,0.2,15.61,20.6,,,,,,2021,,,,
7,GUJARAT,8789,5.4,700.75,12.5,,,,,,2021,,,,
8,HARYANA,3692,2.3,296.04,12.5,,,,,,2021,,,,
9,HIMACHAL PRADESH,889,0.5,74.06,12.0,,,,,,2021,,,,
10,JHARKHAND,1825,1.1,386.37,4.7,,,,,,2021,,,,
11,KARNATAKA,13056,8.0,669.86,19.5,,,,,,2021,,,,
12,KERALA,9549,5.8,355.37,26.9,,,,,,2021,,,,
13,MADHYA PRADESH,14965,9.1,848.60,17.6,,,,,,2021,,,,
14,MAHARASHTRA,22207,13.5,1247.62,17.8,,,,,,2021,,,,
15,MANIPUR,49,0.0,31.72,1.5,,,,,,2021,,,,
16,MEGHALAYA,226,0.1,32.95,6.9,,,,,,2021,,,,
17,MIZORAM,99,0.1,12.19,8.1,,,,,,2021,,,,
18,NAGALAND,43,0.0,21.98,2.0,,,,,,2021,,,,
19,ODISHA,5651,3.4,457.93,12.3,,,,,,2021,,,,
20,PUNJAB,2600,1.6,304.04,8.6,,,,,,2021,,,,
21,RAJASTHAN,5593,3.4,795.72,7.0,,,,,,2021,,,,
22,SIKKIM,266,0.2,6.78,39.2,,,,,,2021,,,,
23,TAMIL NADU,18925,11.5,764.79,24.7,,,,,,2021,,,,
24,TELANGANA,10171,6.2,377.71,26.9,,,,,,2021,,,,
25,TRIPURA,771,0.5,40.81,18.9,,,,,,2021,,,,
26,UTTAR PRADESH,5932,3.6,2317.04,2.6,,,,,,2021,,,,
